v4_2,Data Marking,CV,calendar-years,Time,administrative-geography,Geography,averages-and-percentiles,AveragesAndPercentiles,sex,Sex,working-pattern,WorkingPattern,hours-and-earnings,HoursAndEarnings,sector,Sector
25616.0,,1.4,2020,2020,S92000003,Scotland,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
25970.0,,1.1,2021,2021,S92000003,Scotland,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
24559.0,,1.2,2019,2019,S92000003,Scotland,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
23122.0,,1.3,2017,2017,S92000003,Scotland,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
29675.0,,1.6,2023,2023,S92000003,Scotland,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
22913.0,,1.3,2016,2016,S92000003,Scotland,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
23858.0,,1.2,2018,2018,S92000003,Scotland,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
27506.0,,1.5,2022,2022,S92000003,Scotland,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
24398.0,,1.2,2021,2021,E12000002,North West,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
22103.0,,1.4,2017,2017,E12000002,North West,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
22633.0,,1.3,2018,2018,E12000002,North West,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
28506.0,,1.5,2023,2023,E12000002,North West,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
24294.0,,1.3,2020,2020,E12000002,North West,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
23484.0,,1.3,2019,2019,E12000002,North West,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
21664.0,,1.4,2016,2016,E12000002,North West,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
26173.0,,1.6,2022,2022,E12000002,North West,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
22824.0,,1.4,2018,2018,E12000005,West Midlands,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
22284.0,,1.4,2017,2017,E12000005,West Midlands,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
21732.0,,1.6,2016,2016,E12000005,West Midlands,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
28192.0,,1.6,2023,2023,E12000005,West Midlands,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
25068.0,,1.3,2021,2021,E12000005,West Midlands,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
24596.0,,1.5,2020,2020,E12000005,West Midlands,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
23870.0,,1.4,2019,2019,E12000005,West Midlands,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
26554.0,,1.9,2022,2022,E12000005,West Midlands,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
27300.0,,1.1,2021,2021,E12000008,South East,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
24514.0,,1.0,2016,2016,E12000008,South East,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
25000.0,,1.0,2018,2018,E12000008,South East,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
24679.0,,1.0,2017,2017,E12000008,South East,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
27152.0,,1.1,2020,2020,E12000008,South East,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
26215.0,,1.3,2019,2019,E12000008,South East,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
31100.0,,1.5,2023,2023,E12000008,South East,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
29027.0,,1.2,2022,2022,E12000008,South East,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
21295.0,,1.6,2016,2016,E12000009,South West,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
22754.0,,1.6,2019,2019,E12000009,South West,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
23581.0,,1.6,2020,2020,E12000009,South West,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
28059.0,,1.8,2023,2023,E12000009,South West,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
22225.0,,1.5,2018,2018,E12000009,South West,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
23790.0,,1.6,2021,2021,E12000009,South West,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
21797.0,,1.6,2017,2017,E12000009,South West,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
26322.0,,1.8,2022,2022,E12000009,South West,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
23253.0,,2.2,2020,2020,E12000001,North East,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
26576.0,,2.0,2023,2023,E12000001,North East,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
21736.0,,2.1,2017,2017,E12000001,North East,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
21177.0,,2.4,2016,2016,E12000001,North East,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
22602.0,,2.3,2019,2019,E12000001,North East,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
21650.0,,2.1,2018,2018,E12000001,North East,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
23273.0,,2.0,2021,2021,E12000001,North East,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
25017.0,,2.4,2022,2022,E12000001,North East,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
23735.0,,1.7,2020,2020,E12000003,Yorkshire and The Humber,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
23776.0,,1.3,2021,2021,E12000003,Yorkshire and The Humber,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
27528.0,,1.6,2023,2023,E12000003,Yorkshire and The Humber,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
22973.0,,1.6,2019,2019,E12000003,Yorkshire and The Humber,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
21321.0,,1.6,2017,2017,E12000003,Yorkshire and The Humber,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
25862.0,,1.7,2022,2022,E12000003,Yorkshire and The Humber,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
21793.0,,1.4,2018,2018,E12000003,Yorkshire and The Humber,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
21215.0,,1.6,2016,2016,E12000003,Yorkshire and The Humber,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
21759.0,,2.0,2018,2018,E12000004,East Midlands,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
24137.0,,1.5,2021,2021,E12000004,East Midlands,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
24090.0,,1.7,2020,2020,E12000004,East Midlands,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
21122.0,,1.8,2016,2016,E12000004,East Midlands,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
21324.0,,1.6,2017,2017,E12000004,East Midlands,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
23070.0,,1.8,2019,2019,E12000004,East Midlands,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
27062.0,,1.9,2023,2023,E12000004,East Midlands,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
25819.0,,1.6,2022,2022,E12000004,East Midlands,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
25325.0,,1.3,2021,2021,E12000006,East,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
24447.0,,1.4,2019,2019,E12000006,East,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
22631.0,,1.6,2017,2017,E12000006,East,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
28883.0,,2.0,2023,2023,E12000006,East,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
23442.0,,1.6,2018,2018,E12000006,East,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
22330.0,,1.4,2016,2016,E12000006,East,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
24898.0,,1.7,2020,2020,E12000006,East,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
26797.0,,1.8,2022,2022,E12000006,East,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
34583.0,,1.1,2021,2021,E12000007,London,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
38943.0,,1.3,2023,2023,E12000007,London,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
33875.0,,1.1,2019,2019,E12000007,London,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
33000.0,,1.1,2018,2018,E12000007,London,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
34987.0,,1.4,2020,2020,E12000007,London,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
32163.0,,1.1,2017,2017,E12000007,London,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
31357.0,,1.1,2016,2016,E12000007,London,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
36825.0,,1.3,2022,2022,E12000007,London,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
